_id|attr1id|attr1list|attr2id|vendor|of8|color|dept|description|largepicture|price|title|overallqoh|quantityonhandsum|sale|sizelist|style|SHIPPINGSURCHARGE|TOPSELLER|JUSTIN|MEGANPICK|FINDS|SHOECHARGE|exclusive
889|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|10|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
890|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|32|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
892|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|32|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
893|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|16|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
895|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|16|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
896|12440|Blue|NULL|SUNDRY|NULL|NULL|TOPS|NULL|22167-DEFAULT-l.jpg|98|Open Side Long Sleeve Stripe|13|NULL|Y|0,1,2,3|43-181|0|NULL|NULL|N|Y|NULL|N
1732|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|33|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1733|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|33|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1737|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|34|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1738|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|34|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1742|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|15|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1743|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|15|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1747|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|28|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1748|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|28|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1752|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|25|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1753|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|25|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1757|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|11|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1758|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|11|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1762|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1763|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1767|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|36|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1768|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|36|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1772|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1773|12738|Green,Grey,Pink,Brown,Black,Ivory|NULL|BILLABONG|NULL|NULL|TOPS|NULL|22366-DEFAULT-l.jpg|58|Outside the Lines|23|NULL|Y|S,M,L|JV03COUT-S16|0|Y|NULL|N|Y|NULL|N
1781|12599|Black,Grey,Pink|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|22175-DEFAULT-l.jpg|28|Seamless Racerback|58|NULL|Y|XS,S,M,L|F876O239A|0|Y|NULL|N|Y|NULL|N
1787|12599|Black,Grey,Pink|NULL|FREE PEOPLE|REPLENISHABLE|NULL|TOPS|NULL|22175-DEFAULT-l.jpg|28|Seamless Racerback|74|NULL|Y|XS,S,M,L|F876O239A|0|Y|NULL|N|Y|NULL|N
1975|13077|Black,Blue,Red|NULL|ALLISON JOY|NULL|NULL|TOPS|NULL|22537-DEFAULT-l.jpg|38|Flynn Chiffon Tee|14|NULL|Y|S,M,L|T6939-054-LU|0|NULL|NULL|Y|Y|NULL|Y
1978|13077|Black,Blue,Red|NULL|ALLISON JOY|NULL|NULL|TOPS|NULL|22537-DEFAULT-l.jpg|38|Flynn Chiffon Tee|6|NULL|Y|S,M,L|T6939-054-LU|0|NULL|NULL|Y|Y|NULL|Y
1979|13077|Black,Blue,Red|NULL|ALLISON JOY|NULL|NULL|TOPS|NULL|22537-DEFAULT-l.jpg|38|Flynn Chiffon Tee|6|NULL|Y|S,M,L|T6939-054-LU|0|NULL|NULL|Y|Y|NULL|Y
1982|12193|Taupe|NULL|LOVESTITCH|NULL|NULL|TOPS|NULL|22406-DEFAULT-l.jpg|78|Open Weave Fringe Poncho|84|NULL|Y|ONESIZE|I-50132|0|NULL|NULL|Y|Y|NULL|N
1984|12193|Taupe|NULL|LOVESTITCH|NULL|NULL|TOPS|NULL|22406-DEFAULT-l.jpg|78|Open Weave Fringe Poncho|84|NULL|Y|ONESIZE|I-50132|0|NULL|NULL|Y|Y|NULL|N
2021|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|20|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2022|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|20|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2025|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|12|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2026|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|12|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
2029|12830|Black,White,Grey,Pink,Blue,Pink|NULL|PEYTON JENSEN|REPLENISHABLE|NULL|TOPS|NULL|22264-DEFAULT-l.jpg|24|Ribbed Racerback Tank|29|NULL|Y|XS,S,M,L|15276-AB|0|Y|NULL|N|Y|NULL|N
