"id","parent_id","position","name","permalink","taxonomy_id","lft","rgt","icon_file_name","icon_content_type","icon_file_size","icon_updated_at","description","created_at","updated_at","meta_title","meta_description","meta_keywords","depth"
89,2,0,"Amuse Society","brand/amuse-society",2,156,157,,,,,"","2016-10-06 20:48:00.995704","2016-10-06 20:48:18.570275","","","",1
90,2,0,"BeachLunchLounge","brand/beachlunchlounge",2,158,159,,,,,"","2016-10-06 20:48:21.538939","2016-10-06 20:48:47.955962","","","",1
91,2,0,"Bench","brand/bench",2,160,161,,,,,"","2016-10-06 20:49:11.315967","2016-10-06 20:49:20.742304","","","",1
92,2,0,"Billabong","brand/billabong",2,162,163,,,,,"","2016-10-06 20:49:25.211996","2016-10-06 20:49:36.017685","","","",1
93,2,0,"Blank","brand/blank",2,164,165,,,,,"","2016-10-06 20:50:22.127197","2016-10-06 20:50:31.921433","","","",1
94,2,0,"Bobi","brand/bobi",2,166,167,,,,,"","2016-10-06 20:50:34.207931","2016-10-06 20:50:41.02559","","","",1
95,2,0,"Braeve","brand/braeve",2,168,169,,,,,"","2016-10-06 20:50:45.704411","2016-10-06 20:50:54.992563","","","",1
96,2,0,"Central Park West","brand/central-park-west",2,170,171,,,,,"","2016-10-06 20:50:57.925163","2016-10-06 20:51:17.730588","","","",1
97,2,0,"Chaser","brand/chaser",2,172,173,,,,,"","2016-10-06 20:51:20.325957","2016-10-06 20:51:28.181002","","","",1
98,2,0,"Cloth and Stone","brand/cloth-and-stone",2,174,175,,,,,"","2016-10-06 20:51:33.558582","2016-10-06 20:51:43.619178","","","",1
99,2,0,"Daniel Rainn","brand/daniel-rainn",2,176,177,,,,,"","2016-10-06 20:51:50.914618","2016-10-06 20:52:01.179956","","","",1
100,2,0,"Dylan","brand/dylan",2,178,179,,,,,"","2016-10-06 20:52:04.530624","2016-10-06 20:52:12.122521","","","",1
101,2,0,"Eight Sixty","brand/eight-sixty",2,180,181,,,,,"","2016-10-06 20:52:15.782521","2016-10-06 20:52:27.67239","","","",1
102,2,0,"Fate","brand/fate",2,182,183,,,,,"","2016-10-06 20:52:30.719069","2016-10-06 20:52:38.968087","","","",1
103,2,0,"Free People","brand/free-people",2,184,185,,,,,"","2016-10-06 20:52:41.509098","2016-10-06 20:52:51.946999","","","",1
104,2,0,"Garnet Field","brand/garnet-field",2,186,187,,,,,"","2016-10-06 20:53:01.65344","2016-10-06 20:53:12.957402","","","",1
105,2,0,"Gentle Fawn","brand/gentle-fawn",2,188,189,,,,,"","2016-10-06 20:53:15.777747","2016-10-07 16:34:15.351332","","","",1
106,2,0,"Jamison","brand/jamison",2,190,191,,,,,"","2016-10-06 20:53:29.614128","2016-10-06 20:53:38.07331","","","",1
107,2,0,"John And Jenn","brand/john-and-jenn",2,192,193,,,,,"","2016-10-06 20:53:41.13301","2016-10-06 20:53:55.699551","","","",1
108,2,0,"Junk Food","brand/junk-food",2,194,195,,,,,"","2016-10-06 20:54:04.384514","2016-10-06 20:54:15.60274","","","",1
109,2,0,"Kersh","brand/kersh",2,196,197,,,,,"","2016-10-06 20:54:20.259322","2016-10-06 20:54:29.902481","","","",1
110,2,0,"Kut From The Kloth","brand/kut-from-the-kloth",2,198,199,,,,,"","2016-10-06 20:54:35.064073","2016-10-06 20:54:51.099858","","","",1
111,2,0,"LA Made","brand/la-made",2,200,201,,,,,"","2016-10-06 20:54:55.229204","2016-10-06 20:55:07.216821","","","",1
112,2,0,"Level 99","brand/level-99",2,202,203,,,,,"","2016-10-06 20:55:09.97334","2016-10-06 20:55:22.689372","","","",1
113,2,0,"Levi's","brand/levis",2,204,205,,,,,"","2016-10-06 20:55:25.844947","2016-10-06 20:55:34.883877","","","",1
114,2,0,"LNA","brand/lna",2,206,207,,,,,"","2016-10-06 20:55:38.849237","2016-10-06 20:55:47.627829","","","",1
115,2,0,"Lovestitch","brand/lovestitch",2,208,209,,,,,"","2016-10-06 20:55:50.593503","2016-10-06 20:56:13.861002","","","",1
116,2,0,"Lush","brand/lush",2,210,211,,,,,"","2016-10-06 20:56:22.26976","2016-10-06 20:57:15.325735","","","",1
117,2,0,"Marrakesh","brand/marrakesh",2,212,213,,,,,"","2016-10-06 20:57:19.333681","2016-10-06 20:57:29.603172","","","",1
118,2,0,"Matty M","brand/matty-m",2,214,215,,,,,"","2016-10-06 20:57:32.418453","2016-10-06 20:57:42.619777","","","",1
119,2,0,"Michael Stars","brand/michael-stars",2,216,217,,,,,"","2016-10-06 20:57:46.126726","2016-10-06 20:58:00.102147","","","",1
120,2,0,"Moon River","brand/moon-river",2,218,219,,,,,"","2016-10-06 20:58:04.622581","2016-10-06 20:58:15.222808","","","",1
121,2,0,"Mystree","brand/mystree",2,220,221,,,,,"","2016-10-06 20:58:18.324687","2016-10-06 20:58:29.880419","","","",1
122,2,0,"Peace Love World","brand/peace-love-world",2,222,223,,,,,"","2016-10-06 20:58:33.433359","2016-10-06 20:58:48.612253","","","",1
